step,D_total,k_total,total_M,n_active,n_dormant,convergence,texture_type,a_env,K_env,innovation_potential,n_self_metatheses,n_absorptive_cross,n_novel_cross,n_env_transitions,temporal_state_counts
118,31,99894.30713611658,60799.054768009235,10,0,1.0,1,2.8953382542587174,200842.86218162978,140043.80741362055,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
119,31,99894.30713611658,60495.05949416919,10,0,1.0,1,2.8953382542587174,200842.86218162978,140347.8026874606,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
120,31,99894.30713611658,60192.58419669834,10,0,1.0,1,2.88638487171613,200934.3278669496,140741.74367025128,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
121,31,99894.30713611658,59891.621275714846,10,0,1.0,1,2.88638487171613,200934.3278669496,141042.70659123478,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
122,31,99894.30713611658,59592.16316933627,10,0,1.0,1,2.88638487171613,200934.3278669496,141342.16469761333,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
123,31,99894.30713611658,59294.20235348959,10,0,1.0,1,2.88638487171613,200934.3278669496,141640.12551346002,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
124,31,99894.30713611658,58997.731341722145,10,0,1.0,1,2.88638487171613,200934.3278669496,141936.59652522748,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
125,31,99894.30713611658,58702.74268501354,10,0,1.0,1,2.88638487171613,200934.3278669496,142231.58518193607,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
126,31,99894.30713611658,58409.22897158847,10,0,1.0,1,2.88638487171613,200934.3278669496,142525.09889536112,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
127,31,99894.30713611658,58117.182826730525,10,0,1.0,1,2.88638487171613,200934.3278669496,142817.14504021907,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
128,31,99894.30713611658,57826.59691259687,10,0,1.0,1,2.88638487171613,200934.3278669496,143107.73095435274,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
129,31,99894.30713611658,57537.46392803389,10,0,1.0,1,2.88638487171613,200934.3278669496,143396.86393891572,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
130,31,99894.30713611658,57249.77660839372,10,0,1.0,1,2.8775210229989687,201024.87889541622,143775.1022870225,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
131,31,99894.30713611658,56963.52772535175,10,0,1.0,1,2.8775210229989687,201024.87889541622,144061.35117006447,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
132,31,99894.30713611658,56678.71008672499,10,0,1.0,1,2.8775210229989687,201024.87889541622,144346.16880869123,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
133,31,99894.30713611658,56395.316536291364,10,0,1.0,1,2.8775210229989687,201024.87889541622,144629.56235912486,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
134,31,99894.30713611658,56113.33995360991,10,0,1.0,1,2.8775210229989687,201024.87889541622,144911.5389418063,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
135,31,99894.30713611658,55832.77325384186,10,0,1.0,1,2.8775210229989687,201024.87889541622,145192.10564157437,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
136,31,99894.30713611658,55553.60938757265,10,0,1.0,1,2.8775210229989687,201024.87889541622,145471.26950784356,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
137,31,99894.30713611658,55275.84134063478,10,0,1.0,1,2.8775210229989687,201024.87889541622,145749.03755478142,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
138,31,99894.30713611658,54999.462133931615,10,0,1.0,1,2.8775210229989687,201024.87889541622,146025.4167614846,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
139,31,99894.30713611658,54724.46482326195,10,0,1.0,1,2.8775210229989687,201024.87889541622,146300.41407215426,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
140,31,99894.30713611658,54450.84249914564,10,0,1.0,1,2.868745812768979,201114.52441359818,146663.68191445252,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
141,31,99894.30713611658,54178.588286649916,10,0,1.0,1,2.868745812768979,201114.52441359818,146935.93612694828,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
142,31,99894.30713611658,53907.69534521666,10,0,1.0,1,2.868745812768979,201114.52441359818,147206.8290683815,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
143,31,99894.30713611658,53638.15686849059,10,0,1.0,1,2.868745812768979,201114.52441359818,147476.36754510758,20,0,0,4,"{0: 0, 1: 0, 2: 0, 3: 10, 4: 0}"
