variant,alpha,mu,a,m0,steps,final_M,final_Xi,regime,blowup_step
baseline,0.01,0.001,8,50,120,1e+09,1e+09,explosive,3
baseline,0.01,0.0019306977,8,50,120,1e+09,1e+09,explosive,3
baseline,0.01,0.0037275937,8,50,120,1e+09,1e+09,explosive,3
baseline,0.01,0.0071968567,8,50,120,1e+09,1e+09,explosive,3
baseline,0.01,0.013894955,8,50,40,1e+09,1e+09,explosive,3
baseline,0.01,0.026826958,8,50,40,1e+09,1e+09,explosive,3
baseline,0.01,0.051794747,8,50,40,1e+09,1e+09,explosive,3
baseline,0.01,0.1,8,50,40,1e+09,1e+09,explosive,3
two_scale,1e-05,0.001,8,10,40,9.6492453,0.0021349417,plateau,
two_scale,1e-05,0.0019306977,8,10,40,9.2960779,0.0020928524,plateau,
two_scale,1e-05,0.0037275937,8,10,40,8.6495294,0.0020150626,plateau,
two_scale,1e-05,0.0071968567,8,10,40,7.5229634,0.0018766608,plateau,
two_scale,1e-05,0.013894955,8,10,40,5.7383175,0.0016466279,plateau,
two_scale,1e-05,0.026826958,8,10,40,3.3842263,0.0013066259,plateau,
two_scale,1e-05,0.051794747,8,10,40,1.196661,0.00089257784,plateau,
two_scale,1e-05,0.1,8,10,40,0.1484757,0.00051645015,plateau,
two_scale,2.6826958e-05,0.001,8,10,40,9.7195904,0.0057498213,plateau,
two_scale,2.6826958e-05,0.0019306977,8,10,40,9.3637742,0.0056362118,plateau,
two_scale,2.6826958e-05,0.0037275937,8,10,40,8.712399,0.0054262681,plateau,
two_scale,2.6826958e-05,0.0071968567,8,10,40,7.5774876,0.0050528325,plateau,
two_scale,2.6826958e-05,0.013894955,8,10,40,5.779771,0.0044323916,plateau,
two_scale,2.6826958e-05,0.026826958,8,10,40,3.4086607,0.00351581,plateau,
two_scale,2.6826958e-05,0.051794747,8,10,40,1.2053947,0.0024002996,plateau,
two_scale,2.6826958e-05,0.1,8,10,40,0.1496045,0.0013877316,plateau,
two_scale,7.1968567e-05,0.001,8,10,40,9.9110731,0.015588332,plateau,
two_scale,7.1968567e-05,0.0019306977,8,10,40,9.5480324,0.015278445,plateau,
two_scale,7.1968567e-05,0.0037275937,8,10,40,8.8834961,0.014706018,plateau,
two_scale,7.1968567e-05,0.0071968567,8,10,40,7.7258401,0.013688502,plateau,
two_scale,7.1968567e-05,0.013894955,8,10,40,5.8925252,0.011999705,plateau,
two_scale,7.1968567e-05,0.026826958,8,10,40,3.4751013,0.0095082929,plateau,
two_scale,7.1968567e-05,0.051794747,8,10,40,1.2291392,0.0064812115,plateau,
two_scale,7.1968567e-05,0.1,8,10,40,0.15267447,0.0037391651,plateau,
two_scale,0.00019306977,0.001,8,10,40,10.445416,0.043033081,plateau,
two_scale,0.00019306977,0.0019306977,8,10,40,10.062099,0.042163059,plateau,
two_scale,0.00019306977,0.0037275937,8,10,40,9.360654,0.040557778,plateau,
two_scale,0.00019306977,0.0071968567,8,10,40,8.1393011,0.037709805,plateau,
two_scale,0.00019306977,0.013894955,8,10,40,6.2064923,0.032996823,plateau,
two_scale,0.00019306977,0.026826958,8,10,40,3.6599342,0.026071068,plateau,
two_scale,0.00019306977,0.051794747,8,10,40,1.2951661,0.017694941,plateau,
two_scale,0.00019306977,0.1,8,10,40,0.16121882,0.010150137,plateau,
two_scale,0.00051794747,0.001,8,10,40,12.04341,0.12502662,plateau,
two_scale,0.00051794747,0.0019306977,8,10,40,11.598281,0.12236981,plateau,
two_scale,0.00051794747,0.0037275937,8,10,40,10.784643,0.11748603,plateau,
two_scale,0.00051794747,0.0071968567,8,10,40,9.3705641,0.10887552,plateau,
two_scale,0.00051794747,0.013894955,8,10,40,7.1387237,0.094759024,plateau,
two_scale,0.00051794747,0.026826958,8,10,40,4.207065,0.074262876,plateau,
two_scale,0.00051794747,0.051794747,8,10,40,1.4903073,0.049807472,plateau,
two_scale,0.00051794747,0.1,8,10,40,0.18652639,0.02812196,plateau,
two_scale,0.0013894955,0.001,8,10,120,1e+09,1e+09,explosive,88
two_scale,0.0013894955,0.0019306977,8,10,120,1e+09,1e+09,explosive,92
two_scale,0.0013894955,0.0037275937,8,10,120,1e+09,1e+09,explosive,103
two_scale,0.0013894955,0.0071968567,8,10,120,36.198607,2.1277904,precursor-active,
two_scale,0.0013894955,0.013894955,8,10,40,10.469834,0.31001712,plateau,
two_scale,0.0013894955,0.026826958,8,10,40,6.1345785,0.23658981,plateau,
two_scale,0.0013894955,0.051794747,8,10,40,2.1721658,0.15315783,plateau,
two_scale,0.0013894955,0.1,8,10,40,0.27530579,0.082621806,plateau,
two_scale,0.0037275937,0.001,8,10,120,1e+09,1e+09,explosive,34
two_scale,0.0037275937,0.0019306977,8,10,120,1e+09,1e+09,explosive,35
two_scale,0.0037275937,0.0037275937,8,10,120,1e+09,1e+09,explosive,36
two_scale,0.0037275937,0.0071968567,8,10,120,1e+09,1e+09,explosive,39
two_scale,0.0037275937,0.013894955,8,10,40,42.535714,2.1710834,precursor-active,
two_scale,0.0037275937,0.026826958,8,10,40,18.488253,1.1545863,exponential,
two_scale,0.0037275937,0.051794747,8,10,40,6.0701423,0.63382012,plateau,
two_scale,0.0037275937,0.1,8,10,40,0.77462785,0.29347117,plateau,
two_scale,0.01,0.001,8,10,120,1e+09,1e+09,explosive,15
two_scale,0.01,0.0019306977,8,10,120,1e+09,1e+09,explosive,15
two_scale,0.01,0.0037275937,8,10,120,1e+09,1e+09,explosive,15
two_scale,0.01,0.0071968567,8,10,120,1e+09,1e+09,explosive,16
two_scale,0.01,0.013894955,8,10,40,1e+09,1e+09,explosive,16
two_scale,0.01,0.026826958,8,10,40,1e+09,1e+09,explosive,18
two_scale,0.01,0.051794747,8,10,40,1e+09,1e+09,explosive,22
two_scale,0.01,0.1,8,10,40,15.589518,2.7347669,exponential,
two_scale,1e-05,0.001,8,20,40,19.313492,0.0050410626,plateau,
two_scale,1e-05,0.0019306977,8,20,40,18.606029,0.0049127994,plateau,
two_scale,1e-05,0.0037275937,8,20,40,17.311028,0.0046824485,plateau,
two_scale,1e-05,0.0071968567,8,20,40,15.055028,0.0042916264,plateau,
two_scale,1e-05,0.013894955,8,20,40,11.482181,0.0036854843,plateau,
two_scale,1e-05,0.026826958,8,20,40,6.7707784,0.0028599051,plateau,
two_scale,1e-05,0.051794747,8,20,40,2.3938428,0.0019237951,plateau,
two_scale,1e-05,0.1,8,20,40,0.29698852,0.0011086994,plateau,
two_scale,2.6826958e-05,0.001,8,20,40,19.480154,0.01360562,plateau,
two_scale,2.6826958e-05,0.0019306977,8,20,40,18.765426,0.013257023,plateau,
two_scale,2.6826958e-05,0.0037275937,8,20,40,17.457455,0.012631462,plateau,
two_scale,2.6826958e-05,0.0071968567,8,20,40,15.17978,0.011571459,plateau,
two_scale,2.6826958e-05,0.013894955,8,20,40,11.574633,0.0099303844,plateau,
two_scale,2.6826958e-05,0.026826958,8,20,40,6.8236381,0.0076997104,plateau,
two_scale,2.6826958e-05,0.051794747,8,20,40,2.4122011,0.0051748814,plateau,
two_scale,2.6826958e-05,0.1,8,20,40,0.29930955,0.0029795238,plateau,
two_scale,7.1968567e-05,0.001,8,20,40,19.937558,0.037106034,plateau,
two_scale,7.1968567e-05,0.0019306977,8,20,40,19.202642,0.036136828,plateau,
two_scale,7.1968567e-05,0.0037275937,8,20,40,17.858708,0.03440142,plateau,
two_scale,7.1968567e-05,0.0071968567,8,20,40,15.521126,0.031471257,plateau,
two_scale,7.1968567e-05,0.013894955,8,20,40,11.827114,0.02695736,plateau,
two_scale,7.1968567e-05,0.026826958,8,20,40,6.9677171,0.020855996,plateau,
two_scale,7.1968567e-05,0.051794747,8,20,40,2.4621742,0.013983733,plateau,
two_scale,7.1968567e-05,0.1,8,20,40,0.30562557,0.0080309564,plateau,
two_scale,0.00019306977,0.001,8,20,40,21.245355,0.1042572,plateau,
two_scale,0.00019306977,0.0019306977,8,20,40,20.450529,0.1013763,plateau,
two_scale,0.00019306977,0.0037275937,8,20,40,19.000552,0.096252727,plateau,
two_scale,0.00019306977,0.0071968567,8,20,40,16.488126,0.087694895,plateau,
two_scale,0.00019306977,0.013894955,8,20,40,12.538267,0.074706943,plateau,
two_scale,0.00019306977,0.026826958,8,20,40,7.3712578,0.057438528,plateau,
two_scale,0.00019306977,0.051794747,8,20,40,2.6016093,0.038259315,plateau,
two_scale,0.00019306977,0.1,8,20,40,0.32323167,0.021821164,plateau,
two_scale,0.00051794747,0.001,8,20,40,25.51419,0.32304002,exponential,
two_scale,0.00051794747,0.0019306977,8,20,40,24.494509,0.31217128,exponential,
two_scale,0.00051794747,0.0037275937,8,20,40,22.657005,0.29336397,exponential,
two_scale,0.00051794747,0.0071968567,8,20,40,19.531123,0.26325578,plateau,
two_scale,0.00051794747,0.013894955,8,20,40,14.729531,0.2200502,plateau,
two_scale,0.00051794747,0.026826958,8,20,40,8.5908395,0.16585729,plateau,
two_scale,0.00051794747,0.051794747,8,20,40,3.0178294,0.1083664,plateau,
two_scale,0.00051794747,0.1,8,20,40,0.37560992,0.06062111,plateau,
two_scale,0.0013894955,0.001,8,20,120,1e+09,1e+09,explosive,41
two_scale,0.0013894955,0.0019306977,8,20,120,1e+09,1e+09,explosive,42
two_scale,0.0013894955,0.0037275937,8,20,120,1e+09,1e+09,explosive,46
two_scale,0.0013894955,0.0071968567,8,20,120,1e+09,1e+09,explosive,54
two_scale,0.0013894955,0.013894955,8,20,40,24.221854,0.82402547,exponential,
two_scale,0.0013894955,0.026826958,8,20,40,13.270066,0.5594085,plateau,
two_scale,0.0013894955,0.051794747,8,20,40,4.5231265,0.34063816,plateau,
two_scale,0.0013894955,0.1,8,20,40,0.56189668,0.17961506,plateau,
